price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,HouseAge,Renovated,lat,BathRoom*Lat,BedRoom*Lat,long,sqft_living15,sqft_lot15
430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,11,0,47.5319,118.82975,190.1276,-121.85,1970,3748
212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,29,0,47.2761,82.733175,141.8283,-122.152,1420,7680
660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,29,0,47.5343,106.952175,190.1372,-122.054,2060,9793
784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,25,0,47.697,166.9395,143.091,-122.072,2480,88500
453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,0,0,47.5517,118.87925,142.6551,-121.998,1690,1662
675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,10,0,47.6734,166.8569,190.6936,-122.38,1540,2285
199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,58,0,47.3257,82.819975,141.9771,-122.296,1550,19265
220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,46,0,47.3309,82.829075,189.3236,-122.299,1750,8140
452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,46,0,47.7689,107.480025,191.0756,-122.266,1550,10436
382500,2,1,1190,4440,1,0,0,3,6,1190,0,33,0,47.7135,47.7135,95.427,-122.287,1060,5715
519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,0,0,47.6722,107.26245,143.0166,-122.381,1350,1310
665000,2,1,1110,3200,1,0,0,3,7,1110,0,89,0,47.6338,47.6338,95.2676,-122.358,1170,3600
527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,46,0,47.5707,118.92675,237.8535,-122.128,2820,9375
205000,3,1,1610,8579,1,0,0,4,7,1010,600,53,0,47.4563,47.4563,142.3689,-122.171,1610,8579
420000,3,1,1060,8097,1,0,0,4,7,940,120,92,0,47.7144,47.7144,143.1432,-122.351,1560,7940
500000,4,2.25,2030,8517,1,0,0,4,8,1380,650,54,0,47.5495,106.986375,190.198,-122.174,2230,8824
921500,4,2.5,3670,315374,2,0,0,4,9,3670,0,20,0,47.7421,119.35525,190.9684,-122.026,2840,87991
890000,4,1,2550,4000,2,0,0,3,8,2370,180,109,0,47.6354,47.6354,190.5416,-122.353,2200,4000
430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,7,0,47.5262,118.8155,95.0524,-121.943,1940,193842
258000,5,2,2260,12500,1,0,0,4,8,1130,1130,54,0,47.3887,94.7774,236.9435,-122.286,1360,18000
511000,3,1,1430,3455,1,0,0,3,7,980,450,67,0,47.6873,47.6873,143.0619,-122.336,1450,4599
532170,3,2,1360,3090,2,0,0,3,8,1360,0,24,0,47.6838,95.3676,143.0514,-122.353,1500,3090
560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,68,0,47.655,47.655,142.965,-122.359,1420,5000
282950,3,1,1250,8200,1,0,0,4,7,1250,0,61,0,47.3255,47.3255,141.9765,-122.304,1680,8633
2.25E+06,4,3.25,5180,19850,2,0,3,3,12,3540,1640,9,0,47.562,154.5765,190.248,-122.162,3160,9750
350000,1,1,700,5100,1,0,0,3,7,700,0,72,0,47.679,47.679,47.679,-122.3,1010,5100
215000,3,1,1180,7669,1,0,0,4,7,1180,0,47,0,47.4479,47.4479,142.3437,-122.176,1190,7669
650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,18,0,47.525,166.3375,237.625,-122.172,2640,13675
320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,47,0,47.3135,130.112125,189.254,-122.369,1980,7875
247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,98,1,47.2086,94.4172,141.6258,-121.996,1160,7198
320000,4,1.75,1760,11180,1,0,0,4,8,1760,0,46,0,47.4715,83.075125,189.886,-122.118,1730,11180
255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,52,0,47.4877,106.847325,237.4385,-122.335,1010,11680
438000,3,1.75,1780,9660,1,0,0,3,7,1780,0,53,0,47.7171,83.504925,143.1513,-122.193,1200,9660
900000,3,2.5,3400,16603,2,0,0,3,10,3400,0,15,0,47.6012,119.003,142.8036,-122.023,3400,12601
441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,35,0,47.7319,131.262725,143.1957,-122.224,1710,8152
420000,3,2,2020,38332,1,0,0,4,7,1010,1010,39,0,47.4582,94.9164,142.3746,-122.023,2110,36590
370000,3,1.75,1580,7000,1,0,0,3,7,1180,400,38,0,47.7209,83.511575,143.1627,-122.168,1640,7500
269950,2,1.75,1340,7250,1,0,0,5,5,700,640,66,0,47.408,82.964,94.816,-122.327,1830,9750
807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,16,0,47.565,118.9125,190.26,-122.125,2920,4500
653000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,35,0,47.7028,119.257,143.1084,-122.231,2480,8750
371500,3,2,1370,8336,1,0,0,5,7,1370,0,50,0,47.7458,95.4916,143.2374,-122.331,1770,7288
284000,3,1.75,1560,21000,1,0,0,3,7,1560,0,61,0,47.4776,83.0858,142.4328,-122.337,1070,7920
272000,3,1.75,2160,7140,1,0,0,4,7,1670,490,37,0,47.3026,82.77955,141.9078,-122.374,1930,7350
313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,59,0,47.7658,71.6487,143.2974,-122.339,1480,7940
917500,4,2.5,3880,35003,2,0,0,3,10,2570,1310,31,0,47.6477,119.11925,190.5908,-122.182,3740,35230
673000,4,2.25,2590,8190,2,0,0,4,8,2590,0,34,0,47.5619,107.014275,190.2476,-122.125,2260,8335
425000,3,2.5,1120,1100,2,0,0,3,8,820,300,7,0,47.6106,119.0265,142.8318,-122.31,1590,1795
399950,5,2.75,1970,5400,1,0,0,3,7,1320,650,28,0,47.5868,130.8637,237.934,-122.308,1280,2150
385000,3,1,1220,4800,1,0,0,3,6,1220,0,113,0,47.6101,47.6101,142.8303,-122.307,1200,4800
269950,3,1.5,1950,7560,1,0,2,4,7,1320,630,39,0,47.1976,70.7964,141.5928,-121.999,1950,8941
330000,2,1,1350,8220,1,0,0,3,7,1060,290,66,0,47.7224,47.7224,95.4448,-122.358,1540,8280
260000,3,2.5,1670,5797,2,0,0,3,7,1670,0,26,0,47.3505,118.37625,142.0515,-122.179,1670,6183
470000,4,3,2380,5125,1.5,0,0,4,7,1680,700,90,0,47.5384,142.6152,190.1536,-122.376,1410,5375
589000,4,3,2440,9600,2,0,0,5,7,2440,0,53,0,47.7044,143.1132,190.8176,-122.2,2290,9600
163500,2,1.5,1050,3419,2,0,0,3,7,1050,0,18,0,47.3848,71.0772,94.7696,-122.039,1050,3417
835000,4,2.75,3130,13412,2,0,0,3,9,2140,990,21,0,47.6993,131.173075,190.7972,-122.102,2260,9984
1.10E+06,5,3,4090,12850,1,0,2,4,10,2090,2000,28,0,47.6627,142.9881,238.3135,-122.188,2540,10270
269000,4,1.75,1490,10000,1,0,0,4,8,1100,390,46,0,47.3099,82.792325,189.2396,-122.379,2190,8910
560000,3,2.5,1900,8744,2,0,0,3,8,1900,0,27,0,47.62,119.05,142.86,-122.043,2030,8744
615000,4,1,1330,2400,1.5,0,0,4,6,1330,0,114,0,47.65,47.65,190.6,-122.34,1330,4400
585188,3,2.25,2230,10026,1,0,0,3,8,1430,800,39,0,47.6647,107.245575,142.9941,-122.153,2230,9340
305000,3,1.75,1650,9480,1,0,0,3,7,1220,430,37,0,47.726,83.5205,143.178,-122.191,1540,8400
166950,3,1,1190,8820,1,0,0,3,6,1190,0,55,0,47.4616,47.4616,142.3848,-122.184,1230,7980
799000,3,2.5,2140,9897,1,0,0,4,8,2140,0,55,0,47.5505,118.87625,142.6515,-122.219,2680,10083
400000,3,2.5,2180,7508,1,0,0,4,7,1420,760,52,0,47.7606,119.4015,143.2818,-122.336,1900,7818
230000,3,1,1060,10228,1,0,0,3,7,1060,0,66,0,47.7481,47.7481,143.2443,-122.3,1570,10228
256883,3,2.5,1690,5025,2,0,0,3,8,1690,0,11,0,47.2779,118.19475,141.8337,-122.347,2550,5001
423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,94,0,47.5511,95.1022,190.2044,-122.312,1500,6480
465000,3,2.5,2150,4084,2,0,0,3,8,2150,0,7,0,47.5488,118.872,142.6464,-122.372,1750,2385
440000,3,2.5,1910,66211,2,0,0,3,7,1910,0,18,0,47.5385,118.84625,142.6155,-121.911,2330,67268
385000,3,1.75,1350,155073,1,0,0,4,7,1350,0,45,0,47.4058,82.96015,142.2174,-121.994,1560,50965
210000,3,1,860,11725,1,0,0,4,6,860,0,72,0,47.5093,47.5093,142.5279,-122.184,1300,9514
297000,3,2.5,1940,14952,2,0,0,3,8,1940,0,20,0,47.3777,118.44425,142.1331,-122.165,2030,10450
470000,3,1,1010,5000,1,0,0,3,7,1010,0,62,0,47.675,47.675,143.025,-122.394,1680,5000
226500,3,1.5,1300,7370,1,0,0,4,7,900,400,38,0,47.3025,70.95375,141.9075,-122.37,1430,7500
274250,3,1,910,8450,1,0,0,4,6,910,0,53,0,47.4787,47.4787,142.4361,-122.158,1400,8040
840000,4,1.75,2480,11010,1,0,0,4,9,1630,850,48,0,47.5378,83.19115,190.1512,-122.219,2770,10744
677900,3,2.5,2440,4587,2,0,0,3,8,2440,0,4,0,47.7073,119.26825,143.1219,-122.114,2750,4587
425000,3,1,1010,5864,1,0,0,3,7,1010,0,100,0,47.5733,47.5733,142.7199,-122.381,1290,5000
180250,2,0.75,900,9600,1,0,0,3,6,900,0,73,0,47.4604,35.5953,94.9208,-122.339,1250,14280
464000,6,3,2300,3404,2,0,0,3,7,1600,700,94,1,47.7067,143.1201,286.2402,-122.343,1560,1312
320000,4,2.25,1550,7579,2,0,0,3,8,1550,0,22,0,47.354,106.5465,189.416,-122.047,1630,6397
625504,3,2.25,1270,1566,2,0,0,3,8,1060,210,0,0,47.6647,107.245575,142.9941,-122.284,1160,1327
592500,4,2.5,2240,12032,1,0,0,3,9,2240,0,31,0,47.6143,119.03575,190.4572,-122.017,2520,12368
465000,3,2.5,2714,17936,2,0,0,3,9,2714,0,10,0,47.3185,118.29625,141.9555,-122.275,2590,18386
477000,4,2.75,1720,6270,2,0,0,3,8,1720,0,36,0,47.5458,130.75095,190.1832,-122.268,2130,8700
280000,2,1,850,16400,1,0,0,3,6,850,0,92,0,47.4889,47.4889,94.9778,-122.299,1100,14459
1.51E+06,5,3,3300,33474,1,0,3,3,9,1870,1430,58,1,47.5673,142.7019,237.8365,-122.21,3836,20953
445838,3,2.5,2250,5692,2,0,0,3,8,2250,0,14,0,47.5133,118.78325,142.5399,-122.379,1320,5390
1.07E+06,2,2.25,3900,14864,1,0,3,3,8,1950,1950,67,0,47.5884,107.0739,95.1768,-122.291,2580,5184
467000,2,1.5,1320,10800,1,0,0,4,8,1320,0,67,0,47.7145,71.57175,95.429,-122.367,2120,12040
686000,4,2.5,2760,6440,2,0,0,3,10,2760,0,15,0,47.5836,118.959,190.3344,-122.026,3070,8127
279950,3,2,1750,9750,1,0,0,3,7,1350,400,53,0,47.398,94.796,142.194,-122.299,1900,10125
527000,4,2.25,2330,19436,2,0,0,3,8,2330,0,27,0,47.7663,107.474175,191.0652,-122.215,1910,10055
325000,3,2.25,2220,16020,1,0,0,4,8,1780,440,48,0,47.3758,106.59555,142.1274,-122.217,2080,9583
328000,3,2.25,2020,8379,2,0,0,3,7,2020,0,20,0,47.3828,106.6113,142.1484,-122.023,2020,8031
390000,3,2.25,1250,7500,1,0,0,5,7,1250,0,72,0,47.5123,106.902675,142.5369,-122.373,1280,7392
479950,2,2,1510,6516,1,0,0,3,8,1510,0,10,0,47.7076,95.4152,95.4152,-122.013,1640,6009
264950,4,2.25,1720,9753,1,0,0,4,7,1120,600,36,0,47.2922,106.40745,189.1688,-122.371,1510,9753
235000,3,1,1430,15246,1,0,0,4,7,980,450,54,0,47.4075,47.4075,142.2225,-122.214,1960,13068
516500,3,2.5,1480,4729,2,0,0,3,7,1480,0,11,0,47.6794,119.1985,143.0382,-122.034,2250,4729
655000,2,1.75,1450,15798,2,1,4,3,7,1230,220,100,1,47.4497,83.036975,94.8994,-122.375,2030,13193
500000,4,2.75,2280,15347,1,0,0,5,7,2280,0,54,0,47.5218,130.68495,190.0872,-122.164,2280,15347
